Tg,FFV,Tc,Density,Rg,canonical_SMILES,TC_mean,sanitization_error_supp1,sanitization_error_supp2,sanitization_error_supp3,sanitization_error_supp4
206.5698859,,0.256334092524391,0.9854843785473083,16.419786709543974,*/C(=C(/*)c1ccccc1)c1ccccc1,,,,,
99.6931830663824,,0.102,0.9854843785473083,16.419786709543974,*/C(F)=C(\F)C(F)(C(*)(F)F)C(F)(F)F,0.102,,,,
99.6931830663824,,0.4105,0.885736749,15.06400186,*/C=C(/*)C#CCCCCCCCCCCCCCCCCCCCCC(=O)O,0.4105,,,,
99.6931830663824,,0.403,0.868463517,14.07855526,*/C=C(/*)CCCCCCCCCCCCCCCCCCCCC(=O)O,0.403,,,,
243.9892983,,0.256334092524391,0.9854843785473083,16.419786709543974,*/C=C(\C#N)C(=O)Nc1cccc(NC(=O)/C(C#N)=C/c2ccc(/C=C/c3ccc(N(c4ccccc4)c4ccc(N(c5ccccc5)c5ccc(/C=C/c6ccc(*)s6)cc5)cc4)cc3)s2)c1,,,,,
59.5588378,,0.394,0.775000418,34.672905605,*/C=C/*,0.526,,,,
99.6931830663824,,0.256334092524391,0.971892426,13.10146733,*/C=C/C(C(=O)OC(C)C)C(*)C(=O)OC(C)C,,,,,
99.6931830663824,,0.256334092524391,0.820729949,15.50648001,*/C=C/C(C)(C)C(*)(C)C,,,,,
99.6931830663824,,0.256334092524391,0.801255092,16.53077558,*/C=C/C(C)C(*)C,,,,,
99.6931830663824,,0.2486666666666666,0.9854843785473083,16.419786709543974,*/C=C/C(C)CCCCC*,0.2486666666666666,,,,
99.6931830663824,,0.203,0.82398912,14.35476002,*/C=C/C(C*)C(C)CC,0.203,,,,
99.6931830663824,,0.218,0.803760264,13.41293322,*/C=C/C(C*)CCC,0.218,,,,
99.6931830663824,,0.2603333333333333,0.9854843785473083,16.419786709543974,*/C=C/C1CCC(*)C1,0.2603333333333333,,,,
99.6931830663824,,0.2486666666666666,0.8411584645000001,19.29341066,*/C=C/CC*,0.2486666666666666,,,,
99.6931830663824,,0.26655,0.834588519,18.18601938,*/C=C/CCC*,0.2535,,,,
99.6931830663824,,0.3143333333333333,0.823772683,18.69881957,*/C=C/CCCCC*,0.3143333333333333,,,,
99.6931830663824,,0.33,0.820824647,19.38675152,*/C=C/CCCCCC*,0.33,,,,
99.6931830663824,,0.3405,0.903154394,19.54188854,*/C=C/CCCCCCC(Cl)CCCCCC*,0.3405,,,,
99.6931830663824,,0.3688333333333332,0.822061556,19.34707652,*/C=C/CCCCCCCC*,0.3571666666666666,,,,
99.6931830663824,,0.31,0.891002299,16.02209513,*/C=C/CCCCCCCCCC(CCCCCCCCC*)COCCOCCOCCOCCOCCCCCC,0.31,,,,
99.6931830663824,,0.332,0.9854843785473083,16.419786709543974,*/C=C/CCCCCCCCCC(CCCCCCCCC*)COCCOCCOCCOCCOCCCCCCCCCCCCCC,0.332,,,,
99.6931830663824,,0.3419999999999999,0.878956685,20.00761368,*/C=C/CCCCCCCCCC(Cl)CCCCCCCCC*,0.3419999999999999,,,,
99.6931830663824,,0.4142,0.822074244,20.61494369,*/C=C/CCCCCCCCCC*,0.4142,,,,
51.04706134,,0.256334092524391,0.9854843785473083,16.419786709543974,*/C=C/c1cc(CCCCCC)c(/C=C/c2ccc(*)cc2)cc1CCCCCC,,,,,
99.6931830663824,,0.368,0.89127614,15.68183389,*/C=C/c1cc(CCCCCCCCCCC)c(/C=C/c2ccc(*)cc2)cc1CCCCCCCCCCC,0.368,,,,
99.6931830663824,,0.368,0.9854843785473083,16.419786709543974,*/C=C/c1cc(CCCCCCCCCCCC)c(*)s1,0.368,,,,
99.6931830663824,,0.315,0.863597922,16.18461866,*/C=C/c1cc(CCCCCCCCCCCC)c(/C=C/c2ccc(*)cc2)cc1CCCCCCCCCCCC,0.315,,,,
99.6931830663824,,0.185,1.037733826,22.21132757,*/C=C/c1cc(OCC(CC)CCCC)c(*)cc1-c1ccc(F)c(C(F)(F)F)c1,0.185,,,,
99.6931830663824,,0.242,0.969832402,13.49779574,*/C=C/c1cc(OCC(CC)CCCC)c(*)cc1-c1ccc(N(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,0.242,,,,
99.6931830663824,,0.24,1.004037835,17.43472846,*/C=C/c1cc(OCC2CC3CC2C2CCCC32)c(*)cc1OCC1CC2CC1C1CCCC21,0.24,,,,
